Type,Name,Age(months),Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,PetID,PhotoAmt,Breed1_Name,Color1_Name,Color,Breed,AgeGroup,FeeCategory,image_paths
Cat,Nibble,3,Male,Small,Short,No,No,No,Healthy,90,86e1089a3,1,Tabby,Black,Black White ,Tabby,Kitten,Low,['input/images/86e1089a3-1.jpg']
Cat,Unknown,1,Male,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,90,6296e909a,2,Domestic Medium Hair,Black,Black Brown ,Domestic Medium Hair,Kitten,Low,"['input/images/6296e909a-1.jpg', 'input/images/6296e909a-2.jpg']"
Dog,Brisco,1,Male,Medium,Medium,Yes,Yes,No,Healthy,90,3422e4906,7,Mixed Breed,Brown,Brown White ,Mixed Breed,Puppy,Low,"['input/images/3422e4906-1.jpg', 'input/images/3422e4906-2.jpg', 'input/images/3422e4906-3.jpg', 'input/images/3422e4906-4.jpg', 'input/images/3422e4906-5.jpg', 'input/images/3422e4906-6.jpg', 'input/images/3422e4906-7.jpg']"
Dog,Hunter,1,Male,Medium,Short,No,No,No,Healthy,170,850a43f90,3,Mixed Breed,Black,Black  ,Mixed Breed,Puppy,Low,"['input/images/850a43f90-1.jpg', 'input/images/850a43f90-2.jpg', 'input/images/850a43f90-3.jpg']"
Cat,Unknown,3,Female,Medium,Short,No,No,No,Healthy,530,d24c30b4b,2,Domestic Short Hair,Cream,Cream Gray ,Domestic Short Hair,Kitten,Medium,"['input/images/d24c30b4b-1.jpg', 'input/images/d24c30b4b-2.jpg']"
Cat,BULAT,12,Male,Medium,Long,No,No,Not Sure,Healthy,520,1caa6fcdb,3,Domestic Long Hair,Black,Black  ,Domestic Long Hair,Kitten,Medium,"['input/images/1caa6fcdb-1.jpg', 'input/images/1caa6fcdb-2.jpg', 'input/images/1caa6fcdb-3.jpg']"
Cat,Unknown,2,Female,Medium,Medium,No,No,No,Healthy,220,c06d167ca,6,Domestic Medium Hair,Gray,Gray  ,Domestic Medium Hair,Kitten,Medium,"['input/images/c06d167ca-1.jpg', 'input/images/c06d167ca-2.jpg', 'input/images/c06d167ca-3.jpg', 'input/images/c06d167ca-4.jpg', 'input/images/c06d167ca-5.jpg', 'input/images/c06d167ca-6.jpg']"
Cat,Kitty,12,Female,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,240,7a0942d61,2,Domestic Medium Hair,Black,Black White ,Domestic Medium Hair,Kitten,Medium,"['input/images/7a0942d61-1.jpg', 'input/images/7a0942d61-2.jpg']"
Cat,Kali,3,Female,Large,Long,Yes,Yes,No,Healthy,630,8e76c8e39,2,Domestic Long Hair,Black,Black Brown Cream,Domestic Long Hair,Kitten,High,"['input/images/8e76c8e39-1.jpg', 'input/images/8e76c8e39-2.jpg']"
Dog,Lost Dog,3,Female,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,260,c02be41e6,2,Mixed Breed,Brown,Brown Cream White,Mixed Breed,Puppy,Medium,"['input/images/c02be41e6-1.jpg', 'input/images/c02be41e6-2.jpg']"
